,region,site,date,depth_m,transect,colony_id,coral_species,col_size,l_cm,w_cm,percent_live,percent_col_inside,n_scars,percent_new,scar_min_mm2,scar_max_mm2,scar_med_mm2
130,Panamá,Cayo Roldan,2013-08-19,5,2,130,Siderastrea siderea,20 to 40,22,9,15,100,0,0,NA,NA,NA
131,Panamá,Cayo Roldan,2013-08-19,5,2,131,Agaricia tenuifolia,5 to 10,7,7,100,100,3,100,5.498,7.069,6.283
132,Panamá,Cayo Roldan,2013-08-19,5,2,132,Siderastrea siderea,80+,180,85,70,100,0,0,NA,NA,NA
133,Panamá,Cayo Roldan,2013-08-19,5,2,133,Siderastrea siderea,5 to 10,6,3,25,100,0,0,NA,NA,NA
134,Panamá,Isla Pastores Inside,2013-08-19,10,1,134,Siderastrea siderea,40 to 80,45,21,90,100,0,0,NA,NA,NA
135,Panamá,Isla Pastores Inside,2013-08-19,10,1,135,Siderastrea siderea,10 to 20,13,12,100,100,16,0,NA,NA,NA
136,Panamá,Isla Pastores Inside,2013-08-19,10,1,136,Siderastrea siderea,5 to 10,7,7,100,100,1,0,NA,NA,NA
137,Panamá,Isla Pastores Inside,2013-08-19,10,1,137,Siderastrea siderea,5 to 10,8,6,95,100,1,0,NA,NA,NA
138,Panamá,Isla Pastores Inside,2013-08-19,10,1,138,Siderastrea siderea,10 to 20,12,10,100,100,3,0,NA,NA,NA
139,Panamá,Isla Pastores Inside,2013-08-19,10,1,139,Siderastrea siderea,10 to 20,13,11,100,100,3,0,NA,NA,NA
140,Panamá,Isla Pastores Inside,2013-08-19,10,1,140,Siderastrea siderea,10 to 20,12,12,100,100,2,50,7.069,9.425,NA
141,Panamá,Isla Pastores Inside,2013-08-19,10,1,141,Siderastrea siderea,80+,132,130,50,100,0,0,NA,NA,NA
142,Panamá,Isla Pastores Inside,2013-08-19,10,1,142,Siderastrea siderea,40 to 80,67,55,90,100,13,0,NA,NA,NA
